,accuracy,precision,recall,f1,roc_auc
Baseline_Logistic,0.8317144244779019,0.36138014527845036,0.6433189655172413,0.4627906976744186,0.7996830941056565
Baseline_RF,0.8941233608547838,0.5590717299578059,0.2855603448275862,0.3780313837375178,0.7825769291565219
Tuned_RF,0.8992229237493929,0.6611842105263158,0.2165948275862069,0.3262987012987013,0.8073571357794009
Tuned_XGB,0.8998300145701797,0.6426592797783933,0.25,0.3599689681923972,0.8136064869863918
